race_id,track,total_laps,track_temp,pit_lane_time,base_lap_time,lap_band,temp_band,unique_sequence_count,two_stop_drivers,top_sequence,top_sequence_count,soft_share,medium_share,hard_share,soft_hard_share,medium_hard_share,hard_medium_share,medium_soft_share,soft_medium_share,is_challenge,challenge_score
R27917,Monaco,44.0,40.0,21.2,82.4,mid_short,hot,6.0,1.0,MEDIUM>HARD,4.0,0.4,0.4,0.2,0.15,0.2,0.2,0.2,0.2,0,0.024247048042268342
R28960,COTA,45.0,40.0,23.8,81.0,mid_short,hot,10.0,8.0,MEDIUM>SOFT,3.0,0.55,0.35,0.1,0.05,0.15,0.1,0.15,0.15,0,0.019093091275416318
R24840,Monza,67.0,23.0,22.9,88.9,long,cool,12.0,10.0,SOFT>HARD>SOFT,3.0,0.5,0.2,0.3,0.05,0.05,0.05,0.1,0.1,0,0.01841918261772523
R07957,Monza,35.0,27.0,22.9,81.1,short,mild,6.0,0.0,HARD>SOFT,4.0,0.4,0.25,0.35,0.2,0.15,0.15,0.1,0.2,0,0.01822425467201904
R27371,Monaco,41.0,39.0,23.7,80.9,mid_short,hot,9.0,3.0,MEDIUM>SOFT,4.0,0.35,0.35,0.3,0.2,0.05,0.2,0.2,0.1,0,0.017721990951891416
R24518,Monaco,41.0,22.0,20.8,80.9,mid_short,cool,8.0,3.0,MEDIUM>HARD,5.0,0.5,0.3,0.2,0.15,0.25,0.1,0.05,0.2,0,0.017532540342511626
R28606,Suzuka,43.0,38.0,20.4,80.5,mid_short,hot,9.0,3.0,HARD>SOFT,5.0,0.4,0.1,0.5,0.25,0.05,0.2,0.05,0.05,0,0.01742295883049685
R26037,Suzuka,42.0,20.0,20.9,82.2,mid_short,cool,7.0,1.0,MEDIUM>HARD,5.0,0.3,0.5,0.2,0.15,0.25,0.15,0.2,0.15,0,0.017154088603554007
R13902,Monza,45.0,30.0,21.9,80.9,mid_short,mild,6.0,0.0,MEDIUM>SOFT,4.0,0.3,0.35,0.35,0.1,0.15,0.2,0.2,0.2,0,0.017120241601043446
R08861,Monza,44.0,30.0,22.5,81.2,mid_short,mild,6.0,0.0,MEDIUM>HARD,5.0,0.35,0.3,0.35,0.15,0.25,0.25,0.05,0.2,0,0.016878129311794932
R24403,Silverstone,68.0,22.0,23.5,84.3,long,cool,11.0,9.0,SOFT>HARD>SOFT,3.0,0.5,0.2,0.3,0.05,0.1,0.1,0.05,0.15,0,0.016732668903269517
R21143,Monza,41.0,19.0,20.2,80.7,mid_short,cool,9.0,5.0,HARD>MEDIUM,3.0,0.45,0.3,0.25,0.1,0.1,0.15,0.15,0.15,0,0.016552462212136205
R23915,Monza,40.0,23.0,20.8,80.1,mid_short,cool,10.0,4.0,HARD>SOFT,4.0,0.3,0.2,0.5,0.05,0.1,0.2,0.1,0.15,0,0.01642306203509726
R08439,Monaco,35.0,30.0,22.8,81.6,short,mild,6.0,0.0,MEDIUM>HARD,5.0,0.3,0.35,0.35,0.1,0.25,0.25,0.1,0.2,0,0.016363647403160615
R23171,Spa,42.0,38.0,20.3,83.4,mid_short,hot,10.0,5.0,MEDIUM>SOFT,4.0,0.5,0.3,0.2,0.15,0.05,0.15,0.2,0.15,0,0.016296009289511262
R25087,Monza,43.0,38.0,20.0,86.0,mid_short,hot,8.0,3.0,HARD>SOFT,5.0,0.5,0.1,0.4,0.2,0.0,0.15,0.1,0.15,0,0.016269113487096424
R21283,Monaco,54.0,27.0,23.0,82.4,mid,mild,12.0,8.0,SOFT>HARD>SOFT,3.0,0.45,0.35,0.2,0.1,0.1,0.05,0.15,0.1,0,0.015983198832763654
R29213,Suzuka,42.0,38.0,22.1,85.3,mid_short,hot,10.0,5.0,MEDIUM>SOFT,3.0,0.35,0.25,0.4,0.15,0.1,0.15,0.15,0.1,0,0.015947279484635334
R23837,Monza,64.0,19.0,22.2,86.2,long,cool,9.0,6.0,MEDIUM>SOFT,3.0,0.5,0.25,0.25,0.15,0.1,0.15,0.15,0.15,0,0.015754627034487764
R23385,Monaco,42.0,37.0,21.1,84.3,mid_short,hot,10.0,6.0,MEDIUM>SOFT,4.0,0.45,0.35,0.2,0.15,0.1,0.1,0.2,0.1,0,0.015726845042585223
R26641,Suzuka,43.0,24.0,20.3,87.7,mid_short,cool,10.0,5.0,MEDIUM>SOFT,3.0,0.4,0.3,0.3,0.15,0.05,0.15,0.15,0.15,0,0.015686806903484455
R12737,Suzuka,44.0,27.0,22.7,82.4,mid_short,mild,6.0,0.0,MEDIUM>HARD,5.0,0.35,0.35,0.3,0.2,0.25,0.2,0.1,0.15,0,0.015549466386121119
R06839,Monza,35.0,28.0,21.6,86.6,short,mild,6.0,0.0,MEDIUM>SOFT,4.0,0.3,0.4,0.3,0.2,0.2,0.15,0.2,0.1,0,0.01553313276616658
R22718,Monza,70.0,21.0,21.3,80.7,long,cool,12.0,6.0,MEDIUM>HARD,4.0,0.5,0.3,0.2,0.2,0.2,0.05,0.05,0.15,0,0.015363710799771252
R13942,Suzuka,41.0,30.0,21.6,84.1,mid_short,mild,6.0,0.0,MEDIUM>HARD,5.0,0.35,0.35,0.3,0.2,0.25,0.25,0.1,0.15,0,0.015273095382240228
R23417,Suzuka,43.0,27.0,23.0,82.3,mid_short,mild,9.0,5.0,MEDIUM>HARD,4.0,0.4,0.4,0.2,0.1,0.2,0.15,0.1,0.15,0,0.0152003851419316
R26335,Monza,70.0,19.0,22.9,90.6,long,cool,10.0,8.0,SOFT>HARD>MEDIUM,3.0,0.55,0.2,0.25,0.15,0.1,0.1,0.0,0.1,0,0.015043743832465269
R17628,Monaco,44.0,30.0,23.3,83.3,mid_short,mild,6.0,0.0,MEDIUM>HARD,4.0,0.4,0.25,0.35,0.2,0.2,0.2,0.05,0.2,0,0.01500993219692808
R16719,Monaco,35.0,27.0,21.5,85.2,short,mild,6.0,0.0,MEDIUM>HARD,5.0,0.3,0.45,0.25,0.2,0.25,0.2,0.2,0.1,0,0.015001801585092215
R13690,Monaco,45.0,28.0,23.4,83.0,mid_short,mild,6.0,0.0,MEDIUM>HARD,5.0,0.25,0.45,0.3,0.05,0.25,0.25,0.2,0.2,0,0.014813002422081382
R18035,Monza,35.0,29.0,22.8,82.6,short,mild,5.0,0.0,MEDIUM>SOFT,6.0,0.3,0.35,0.35,0.3,0.05,0.25,0.3,0.0,0,0.014754296002103928
R01788,Suzuka,34.0,29.0,22.7,80.1,short,mild,4.0,0.0,MEDIUM>HARD,7.0,0.3,0.35,0.35,0.3,0.35,0.3,0.0,0.0,0,0.01461665554237765
R05846,Suzuka,26.0,31.0,22.4,80.2,short,warm,6.0,0.0,MEDIUM>HARD,4.0,0.35,0.35,0.3,0.2,0.2,0.2,0.15,0.15,0,0.014573393019643142
R08669,Monaco,35.0,27.0,22.5,80.7,short,mild,5.0,0.0,MEDIUM>SOFT,6.0,0.4,0.4,0.2,0.15,0.1,0.2,0.3,0.25,0,0.014476099052639264
R17056,Suzuka,44.0,27.0,23.4,84.0,mid_short,mild,6.0,0.0,MEDIUM>SOFT,5.0,0.25,0.5,0.25,0.05,0.25,0.2,0.25,0.2,0,0.014458366638051974
R09918,Monza,42.0,27.0,23.1,81.5,mid_short,mild,6.0,0.0,MEDIUM>HARD,5.0,0.4,0.45,0.15,0.15,0.25,0.1,0.2,0.25,0,0.014425406654721086
R27002,Bahrain,55.0,24.0,20.8,80.6,mid,cool,10.0,9.0,SOFT>HARD>SOFT,4.0,0.55,0.2,0.25,0.15,0.1,0.1,0.05,0.15,0,0.014421509648655916
R20110,Monaco,40.0,28.0,24.0,81.8,mid_short,mild,6.0,0.0,MEDIUM>HARD,4.0,0.4,0.35,0.25,0.2,0.2,0.15,0.15,0.2,0,0.01441496094559092
R09147,Monza,41.0,30.0,20.2,80.9,mid_short,mild,6.0,0.0,MEDIUM>SOFT,4.0,0.25,0.35,0.4,0.1,0.15,0.2,0.2,0.15,0,0.014388752344452168
R09783,Suzuka,35.0,27.0,20.8,87.9,short,mild,6.0,0.0,MEDIUM>HARD,4.0,0.35,0.4,0.25,0.15,0.2,0.1,0.2,0.2,0,0.014370485684468033
R00343,Monza,28.0,28.0,22.8,83.2,short,mild,5.0,0.0,MEDIUM>HARD,6.0,0.35,0.3,0.35,0.2,0.3,0.3,0.0,0.15,0,0.014356148420391976
R20311,Suzuka,35.0,28.0,21.3,83.6,short,mild,6.0,0.0,MEDIUM>HARD,5.0,0.2,0.4,0.4,0.15,0.25,0.2,0.15,0.05,0,0.014302336446944853
R28278,Suzuka,64.0,23.0,23.8,86.6,long,cool,11.0,5.0,MEDIUM>HARD,4.0,0.35,0.45,0.2,0.1,0.2,0.15,0.15,0.1,0,0.014283158089045274
R22670,Suzuka,43.0,38.0,21.7,85.6,mid_short,hot,9.0,5.0,MEDIUM>SOFT,4.0,0.45,0.2,0.35,0.15,0.0,0.1,0.2,0.15,0,0.014263305872628607
R04997,Suzuka,27.0,30.0,22.5,87.0,short,mild,6.0,0.0,MEDIUM>HARD,4.0,0.4,0.25,0.35,0.2,0.2,0.2,0.05,0.2,0,0.014232981683104162
R12503,Monza,39.0,30.0,21.0,81.4,mid_short,mild,6.0,0.0,MEDIUM>HARD,4.0,0.25,0.35,0.4,0.15,0.2,0.2,0.15,0.1,0,0.01422071437191968
R11955,Monaco,45.0,30.0,22.8,80.8,mid_short,mild,6.0,0.0,MEDIUM>SOFT,5.0,0.3,0.3,0.4,0.25,0.05,0.25,0.25,0.05,0,0.014188157947759107
R21521,Monza,45.0,29.0,23.7,87.8,mid_short,mild,10.0,6.0,MEDIUM>SOFT,3.0,0.3,0.4,0.3,0.1,0.15,0.15,0.15,0.0,0,0.014173925628516092
R10516,Monza,35.0,27.0,22.2,87.5,short,mild,6.0,0.0,MEDIUM>SOFT,5.0,0.3,0.4,0.3,0.05,0.15,0.2,0.25,0.25,0,0.014108428728047845
R26331,Monza,40.0,39.0,22.9,80.7,mid_short,hot,11.0,6.0,MEDIUM>HARD,4.0,0.3,0.35,0.35,0.1,0.2,0.15,0.05,0.1,0,0.014095593650132873
R14782,Monaco,45.0,27.0,22.2,82.4,mid_short,mild,6.0,0.0,HARD>SOFT,4.0,0.25,0.35,0.4,0.15,0.2,0.2,0.15,0.1,0,0.014093068736893366
R28494,Bahrain,43.0,39.0,23.0,83.2,mid_short,hot,9.0,3.0,MEDIUM>SOFT,4.0,0.35,0.4,0.25,0.2,0.15,0.15,0.2,0.1,0,0.014085436090119264
R21353,Suzuka,67.0,20.0,23.5,89.0,long,cool,10.0,5.0,MEDIUM>HARD,5.0,0.45,0.35,0.2,0.15,0.25,0.15,0.05,0.1,0,0.014082174416208355
R17361,Suzuka,44.0,27.0,22.1,80.6,mid_short,mild,6.0,0.0,MEDIUM>HARD,5.0,0.25,0.35,0.4,0.15,0.25,0.2,0.1,0.1,0,0.014047030531761982
R18415,Suzuka,43.0,28.0,22.3,87.4,mid_short,mild,6.0,0.0,MEDIUM>HARD,5.0,0.25,0.45,0.3,0.1,0.25,0.25,0.2,0.15,0,0.014030408746162406
R23225,Monza,45.0,26.0,22.6,80.7,mid_short,mild,10.0,5.0,MEDIUM>SOFT,3.0,0.3,0.3,0.4,0.1,0.1,0.15,0.15,0.1,0,0.014020418727852672
R29729,Monaco,43.0,21.0,20.2,84.3,mid_short,cool,12.0,7.0,MEDIUM>HARD,4.0,0.35,0.3,0.35,0.15,0.2,0.2,0.0,0.05,0,0.013979673307103263
R08237,Suzuka,35.0,27.0,21.3,89.1,short,mild,6.0,0.0,MEDIUM>HARD,5.0,0.45,0.3,0.25,0.25,0.25,0.15,0.05,0.2,0,0.013970846488170216
R12474,Monza,43.0,30.0,24.0,81.8,mid_short,mild,5.0,0.0,MEDIUM>SOFT,6.0,0.4,0.4,0.2,0.25,0.1,0.2,0.3,0.15,0,0.013964221866329984
R26084,Suzuka,69.0,21.0,23.9,85.4,long,cool,9.0,3.0,MEDIUM>HARD,4.0,0.35,0.45,0.2,0.15,0.2,0.1,0.2,0.15,0,0.013923233941669269
R29532,Monza,48.0,21.0,20.9,84.1,mid,cool,10.0,4.0,MEDIUM>HARD,4.0,0.35,0.35,0.3,0.15,0.2,0.15,0.1,0.05,0,0.013915767221901888
R08768,Monza,54.0,30.0,20.5,80.7,mid,mild,6.0,0.0,MEDIUM>SOFT,4.0,0.35,0.35,0.3,0.2,0.15,0.2,0.2,0.15,0,0.013904820337598475
R22349,Suzuka,67.0,21.0,20.2,82.6,long,cool,11.0,7.0,MEDIUM>HARD,4.0,0.35,0.25,0.4,0.05,0.2,0.2,0.05,0.1,0,0.013889189101217204
R04523,Suzuka,25.0,30.0,23.8,81.3,short,mild,6.0,0.0,HARD>SOFT,4.0,0.35,0.3,0.35,0.15,0.1,0.15,0.2,0.2,0,0.013868232770530791
R22296,Monza,44.0,24.0,22.0,85.4,mid_short,cool,10.0,4.0,MEDIUM>HARD,5.0,0.2,0.5,0.3,0.05,0.25,0.15,0.15,0.05,0,0.013862698317502805
R14253,Suzuka,44.0,28.0,21.6,85.4,mid_short,mild,6.0,0.0,MEDIUM>HARD,5.0,0.35,0.45,0.2,0.15,0.25,0.15,0.2,0.2,0,0.013854683396241024
