passed_race_id,failed_race_id,track_pair,lap_pair,temp_pair,pit_pair,band_pair,unique_sequence_pair,two_stop_pair,first_mismatch_at_failed,seq_gap,distance,passed_signature,failed_signature,passed_expected_top5,failed_expected_top5,failed_pred_top5
TEST_002,TEST_001,Monaco | Monaco,34 | 31,30 | 32,21.1 | 21.4,short/mild | short/warm,4 | 4,0 | 0,1,4.0,11.2,"{""HARD>MEDIUM"": 5, ""HARD>SOFT"": 1, ""MEDIUM>HARD"": 5, ""SOFT>HARD"": 9}","{""HARD>MEDIUM"": 3, ""HARD>SOFT"": 2, ""MEDIUM>HARD"": 6, ""SOFT>HARD"": 9}","D001,D003,D004,D009,D011","D006,D018,D003,D009,D019","D009,D006,D018,D001,D003"
TEST_002,TEST_054,Monaco | Monaco,34 | 35,30 | 31,21.1 | 20.4,short/mild | short/warm,4 | 4,0 | 0,1,16.0,20.05,"{""HARD>MEDIUM"": 5, ""HARD>SOFT"": 1, ""MEDIUM>HARD"": 5, ""SOFT>HARD"": 9}","{""HARD>MEDIUM"": 10, ""HARD>SOFT"": 3, ""MEDIUM>HARD"": 6, ""SOFT>HARD"": 1}","D001,D003,D004,D009,D011","D020,D002,D018,D013,D006","D002,D018,D020,D006,D014"
TEST_002,TEST_048,Monaco | COTA,34 | 34,30 | 29,21.1 | 22.5,short/mild | short/mild,4 | 4,0 | 0,1,8.0,22.15,"{""HARD>MEDIUM"": 5, ""HARD>SOFT"": 1, ""MEDIUM>HARD"": 5, ""SOFT>HARD"": 9}","{""HARD>MEDIUM"": 5, ""HARD>SOFT"": 1, ""MEDIUM>HARD"": 9, ""SOFT>HARD"": 5}","D001,D003,D004,D009,D011","D011,D001,D017,D019,D007","D001,D011,D007,D009,D017"
TEST_011,TEST_053,Suzuka | Suzuka,53 | 53,33 | 33,23.9 | 21.2,mid/warm | mid/warm,6 | 6,0 | 0,13,10.0,21.5,"{""HARD>MEDIUM"": 3, ""HARD>SOFT"": 6, ""MEDIUM>HARD"": 4, ""MEDIUM>SOFT"": 4, ""SOFT>HARD"": 2}","{""HARD>MEDIUM"": 5, ""HARD>SOFT"": 3, ""MEDIUM>HARD"": 4, ""MEDIUM>SOFT"": 5, ""SOFT>MEDIUM"": 2}","D009,D017,D001,D018,D004","D003,D004,D009,D017,D008","D003,D004,D009,D017,D008"
TEST_011,TEST_061,Suzuka | Bahrain,53 | 54,33 | 27,23.9 | 23.3,mid/warm | mid/mild,6 | 6,0 | 0,15,6.0,23.3,"{""HARD>MEDIUM"": 3, ""HARD>SOFT"": 6, ""MEDIUM>HARD"": 4, ""MEDIUM>SOFT"": 4, ""SOFT>HARD"": 2}","{""HARD>MEDIUM"": 3, ""HARD>SOFT"": 3, ""MEDIUM>HARD"": 5, ""MEDIUM>SOFT"": 3, ""SOFT>HARD"": 3}","D009,D017,D001,D018,D004","D005,D019,D015,D003,D010","D005,D019,D015,D003,D010"
TEST_011,TEST_033,Suzuka | Bahrain,53 | 43,33 | 32,23.9 | 23.8,mid/warm | mid_short/warm,6 | 6,0 | 0,3,3.0,24.65,"{""HARD>MEDIUM"": 3, ""HARD>SOFT"": 6, ""MEDIUM>HARD"": 4, ""MEDIUM>SOFT"": 4, ""SOFT>HARD"": 2}","{""HARD>MEDIUM"": 2, ""HARD>SOFT"": 5, ""MEDIUM>HARD"": 4, ""MEDIUM>SOFT"": 5, ""SOFT>HARD"": 2}","D009,D017,D001,D018,D004","D015,D019,D003,D012,D005","D015,D019,D012,D003,D005"
TEST_044,TEST_053,Suzuka | Suzuka,54 | 53,32 | 33,20.8 | 21.2,mid/warm | mid/warm,5 | 6,0 | 0,13,13.0,14.15,"{""HARD>MEDIUM"": 5, ""HARD>SOFT"": 4, ""MEDIUM>SOFT"": 4, ""SOFT>HARD"": 6, ""SOFT>MEDIUM"": 1}","{""HARD>MEDIUM"": 5, ""HARD>SOFT"": 3, ""MEDIUM>HARD"": 4, ""MEDIUM>SOFT"": 5, ""SOFT>MEDIUM"": 2}","D007,D010,D005,D015,D016","D003,D004,D009,D017,D008","D003,D004,D009,D017,D008"
TEST_044,TEST_056,Suzuka | Suzuka,54 | 49,32 | 29,20.8 | 21.0,mid/warm | mid/mild,5 | 6,0 | 0,4,6.0,15.05,"{""HARD>MEDIUM"": 5, ""HARD>SOFT"": 4, ""MEDIUM>SOFT"": 4, ""SOFT>HARD"": 6, ""SOFT>MEDIUM"": 1}","{""HARD>MEDIUM"": 4, ""HARD>SOFT"": 4, ""MEDIUM>SOFT"": 4, ""SOFT>HARD"": 3, ""SOFT>MEDIUM"": 3}","D007,D010,D005,D015,D016","D019,D004,D002,D016,D005","D019,D004,D002,D005,D016"
TEST_044,TEST_093,Suzuka | Suzuka,54 | 54,32 | 33,20.8 | 20.8,mid/warm | mid/warm,5 | 6,0 | 3,15,18.0,15.15,"{""HARD>MEDIUM"": 5, ""HARD>SOFT"": 4, ""MEDIUM>SOFT"": 4, ""SOFT>HARD"": 6, ""SOFT>MEDIUM"": 1}","{""HARD>MEDIUM"": 2, ""HARD>SOFT"": 5, ""MEDIUM>HARD"": 4, ""SOFT>HARD"": 4, ""SOFT>HARD>SOFT"": 3}","D007,D010,D005,D015,D016","D019,D008,D016,D003,D001","D019,D008,D016,D003,D001"
TEST_047,TEST_085,Silverstone | Suzuka,57 | 58,37 | 34,23.2 | 22.5,long/hot | long/warm,11 | 8,7 | 3,12,15.0,28.75,"{""HARD>MEDIUM>SOFT"": 3, ""HARD>SOFT"": 2, ""MEDIUM>HARD"": 3, ""MEDIUM>SOFT"": 2, ""SOFT>MEDIUM"": 3}","{""HARD>MEDIUM"": 3, ""MEDIUM>HARD"": 2, ""MEDIUM>SOFT"": 5, ""SOFT>HARD"": 3, ""SOFT>MEDIUM"": 3}","D008,D002,D001,D007,D015","D009,D016,D015,D007,D002","D009,D016,D015,D007,D002"
