race_id,family_key,branch,top5_correct,track,total_laps,track_temp,lap_band,temp_band,top_sequence,top_count,top_count_bucket,unique_sequences,two_stop_drivers,signature_top3
TEST_001,balanced|top5miss|short|warm|SOFT>HARD|8_10|u4|s0,balanced,0,Monaco,31,32.0,short,warm,SOFT>HARD,9,8_10,4,0,SOFT>HARD:9 | MEDIUM>HARD:6 | HARD>MEDIUM:3
TEST_004,comp|top5miss|mid_short|mild|HARD>SOFT|6_7|u6|s0,comp,0,Bahrain,36,29.0,mid_short,mild,HARD>SOFT,6,6_7,6,0,HARD>SOFT:6 | MEDIUM>HARD:5 | HARD>MEDIUM:3
TEST_005,comp|top5ok|mid|warm|MEDIUM>HARD|4_5|u6|s0,comp,1,Silverstone,47,31.0,mid,warm,MEDIUM>HARD,5,4_5,6,0,MEDIUM>HARD:5 | MEDIUM>SOFT:4 | HARD>MEDIUM:4
TEST_006,comp|top5miss|mid_short|hot|SOFT>HARD|4_5|u9|s4,comp,0,Silverstone,45,42.0,mid_short,hot,SOFT>HARD,4,4_5,9,4,SOFT>HARD:4 | HARD>MEDIUM:3 | MEDIUM>HARD:3
TEST_007,comp|top5miss|mid_short|cool|MEDIUM>SOFT|4_5|u10|s5,comp,0,Monza,45,19.0,mid_short,cool,MEDIUM>SOFT,4,4_5,10,5,MEDIUM>SOFT:4 | SOFT>HARD:3 | SOFT>MEDIUM:3
TEST_008,comp|top5miss|mid|cool|MEDIUM>HARD|4_5|u11|s8,comp,0,Monza,49,23.0,mid,cool,MEDIUM>HARD,3,4_5,11,8,MEDIUM>HARD:3 | HARD>MEDIUM:3 | MEDIUM>SOFT:2
TEST_009,comp|top5miss|mid|warm|MEDIUM>SOFT|4_5|u6|s0,comp,0,Bahrain,51,33.0,mid,warm,MEDIUM>SOFT,4,4_5,6,0,MEDIUM>SOFT:4 | SOFT>MEDIUM:4 | SOFT>HARD:4
TEST_010,comp|top5ok|mid|mild|MEDIUM>SOFT|4_5|u6|s0,comp,1,Monaco,49,30.0,mid,mild,MEDIUM>SOFT,4,4_5,6,0,MEDIUM>SOFT:4 | SOFT>MEDIUM:4 | MEDIUM>HARD:4
TEST_013,comp|top5miss|mid|warm|MEDIUM>HARD|4_5|u10|s6,comp,0,Silverstone,53,33.0,mid,warm,MEDIUM>HARD,4,4_5,10,6,MEDIUM>HARD:4 | HARD>SOFT:3 | HARD>SOFT>MEDIUM:2
TEST_014,comp|top5miss|mid|cool|HARD>MEDIUM|4_5|u11|s6,comp,0,Spa,46,23.0,mid,cool,HARD>MEDIUM,3,4_5,11,6,HARD>MEDIUM:3 | MEDIUM>SOFT:3 | HARD>SOFT:3
TEST_015,comp|top5miss|short|warm|HARD>SOFT|6_7|u6|s0,comp,0,Monza,27,32.0,short,warm,HARD>SOFT,7,6_7,6,0,HARD>SOFT:7 | MEDIUM>HARD:5 | SOFT>HARD:3
TEST_016,comp|top5ok|mid|hot|HARD>MEDIUM|4_5|u9|s4,comp,1,Suzuka,48,39.0,mid,hot,HARD>MEDIUM,5,4_5,9,4,HARD>MEDIUM:5 | SOFT>HARD:3 | MEDIUM>SOFT:2
TEST_017,comp|top5ok|long|mild|SOFT>MEDIUM|4_5|u10|s6,comp,1,Bahrain,69,30.0,long,mild,SOFT>MEDIUM,4,4_5,10,6,SOFT>MEDIUM:4 | HARD>SOFT:3 | HARD>MEDIUM:3
TEST_019,balanced|top5ok|short|mild|MEDIUM>HARD|8_10|u4|s0,balanced,1,Bahrain,35,28.0,short,mild,MEDIUM>HARD,8,8_10,4,0,MEDIUM>HARD:8 | HARD>MEDIUM:7 | SOFT>HARD:4
TEST_020,comp|top5miss|long|hot|HARD>SOFT|4_5|u11|s6,comp,0,Spa,66,38.0,long,hot,HARD>SOFT,4,4_5,11,6,HARD>SOFT:4 | HARD>MEDIUM:3 | MEDIUM>SOFT:3
