race_id,branch,template,track,total_laps,track_temp,top5_correct
TEST_001,balanced,short|warm|SOFT>HARD|8_10,Monaco,31,32.0,0
TEST_004,comp,mid_short|mild|HARD>SOFT|6_7,Bahrain,36,29.0,0
TEST_005,comp,mid|warm|MEDIUM>HARD|4_5,Silverstone,47,31.0,1
TEST_006,comp,mid_short|hot|SOFT>HARD|4_5,Silverstone,45,42.0,0
TEST_007,comp,mid_short|cool|MEDIUM>SOFT|4_5,Monza,45,19.0,0
TEST_008,comp,mid|cool|MEDIUM>HARD|4_5,Monza,49,23.0,0
TEST_009,comp,mid|warm|MEDIUM>SOFT|4_5,Bahrain,51,33.0,0
TEST_010,comp,mid|mild|MEDIUM>SOFT|4_5,Monaco,49,30.0,1
TEST_013,comp,mid|warm|MEDIUM>HARD|4_5,Silverstone,53,33.0,0
TEST_014,comp,mid|cool|HARD>MEDIUM|4_5,Spa,46,23.0,0
TEST_015,comp,short|warm|HARD>SOFT|6_7,Monza,27,32.0,0
TEST_016,comp,mid|hot|HARD>MEDIUM|4_5,Suzuka,48,39.0,1
TEST_017,comp,long|mild|SOFT>MEDIUM|4_5,Bahrain,69,30.0,1
TEST_019,balanced,short|mild|MEDIUM>HARD|8_10,Bahrain,35,28.0,1
TEST_020,comp,long|hot|HARD>SOFT|4_5,Spa,66,38.0,0
TEST_021,comp,mid|warm|HARD>SOFT|4_5,Silverstone,49,32.0,1
TEST_022,comp,mid|mild|HARD>MEDIUM|6_7,COTA,46,26.0,0
TEST_024,comp,mid_short|cool|SOFT>HARD|4_5,Silverstone,44,22.0,0
TEST_025,comp,long|cool|SOFT>MEDIUM|4_5,Suzuka,57,18.0,1
TEST_029,comp,mid_short|warm|HARD>SOFT|4_5,Monza,41,31.0,0
TEST_031,comp,mid_short|mild|HARD>MEDIUM|8_10,COTA,37,28.0,0
TEST_032,comp,mid_short|mild|HARD>MEDIUM|4_5,COTA,41,29.0,0
TEST_033,balanced,mid_short|warm|MEDIUM>SOFT|4_5,Bahrain,43,32.0,0
TEST_034,balanced,mid_short|mild|MEDIUM>HARD|6_7,Bahrain,43,29.0,1
